x,y,cov
87.4557,90.297,0.103108
84.4676,85.0811,0.33819
77.4809,85.0335,0.0979591
65.0959,83.5397,0.111021
58.0777,82.049,0.10585
54.102,82.5345,0.123488
50.3478,80.5826,0.150464
48.9259,79.3207,0.216165
47.125,77.9547,0.13769
45.6091,75.3895,0.143533
46.2719,64.7593,0.102878
44.1451,48.7341,0.0973825
53.9897,38.8103,0.0970834
60,30.5702,0.0991207
67.8798,24.3714,0.0988396
71.8099,20.5587,0.0966011
77.2022,16.8529,0.470628
10.0,10.0,10.0
