to,from,x,y,cov,cost
138,113,21.3672,22.61,1.39951,16.9772
139,138,8.58761,6.92827,1.1648,37.2068
140,338,5.22457,31.43,3.39433,22.6958
141,140,15.3883,7.88332,1.26385,48.3424
142,125,44.2732,32.5476,1.67636,49.1427
143,142,9.24575,7.47238,1.1648,92.2203
144,125,16.2562,7.80382,1.67636,12.1929
145,1860,6.85129,44.6432,2.24137,35.2848
146,145,12.8072,5.40869,1.19737,74.9688
147,99,31.5365,13.3887,2.24137,26.1065
148,147,16.4096,6.35733,1.19737,42.7877
149,130,14.9441,8.14174,5.74509,8.65654
150,115,14.9625,5.65513,1.39951,15.1235
151,311,12.965,6.72874,2.24137,4.79584
152,151,13.8928,4.31223,1.39951,7.38435
153,3,4.48191,29.2127,5.74509,19.9894
154,153,10.0978,7.12125,1.67636,42.7835
155,115,12.6985,10.2809,1.1648,10.3873
156,105,20.0719,8.14674,1.67636,42.1346
157,11,26.5366,15.4472,3.39433,26.3846
158,157,19.6465,8.60574,2.24137,36.0944
159,5,19.7249,3.47669,5.74509,11.7424
160,159,17.0048,6.72885,3.39433,15.9822
161,5,26.295,0.42693,5.74509,18.9085
162,161,19.4602,9.46265,3.39433,30.238
163,3,11.655,18.2149,5.74509,8.37993
164,163,19.1442,6.92541,2.24137,21.9276
165,130,16.7377,7.708,5.74509,9.67113
166,3,14.1811,14.042,5.74509,5.81546
167,166,18.8163,7.36699,2.24137,13.942
168,113,25.3316,14.2261,5.74509,18.6337
169,168,17.2365,5.38564,2.24137,30.6205
170,125,22.5709,7.14334,3.39433,16.4397
171,130,21.7175,14.1058,5.74509,12.4487
172,171,17.8852,7.50434,3.39433,20.0819
173,224,18.6173,12.6201,5.74509,10.6882
174,173,20.0993,9.17313,2.24137,14.4403
175,5,18.4978,4.63969,3.39433,10.1199
176,3,17.6055,2.12859,10.5,10.9455
177,3,34.23,30.8437,3.39433,31.9617
178,177,14.877,12.4681,1.39951,58.6488
179,101,15.4814,12.2897,3.39433,18.6674
180,166,30.1079,21.9919,2.24137,23.6161
181,180,14.2505,14.1935,1.26385,41.2873
182,5,13.2973,13.1767,1.39951,20.0991
183,66,12.3186,11.9448,5.74509,18.7187
184,3,11.2973,15.7881,10.5,5.93169
185,184,12.9134,10.9574,5.74509,11.0255
186,125,24.269,11.5435,3.39433,20.2076
187,186,13.7445,12.2029,1.67636,30.7527
188,4898,23.0073,21.3161,3.39433,21.6322
189,188,15.2656,11.0025,1.39951,34.528
190,66,14.4916,11.5571,2.24137,20.5502
191,184,18.2748,9.73616,2.24137,15.1681
192,184,13.0948,16.4697,5.74509,7.85404
193,192,13.5756,13.857,3.39433,10.5106
194,3,32.072,7.30596,3.39433,22.2358
195,194,14.1011,13.4627,1.26385,41.232
196,4899,26.0734,21.9461,3.39433,21.3648
197,196,12.1368,12.0778,1.39951,38.4415
198,66,16.2598,23.8405,3.39433,29.5045
199,198,13.4677,13.6371,1.26385,40.0831
200,120,12.4405,12.3074,5.74509,15.9454
201,3,5.22958,1.82713,10.5,9.46323
202,201,16.923,0.390471,1.67636,21.2445
203,14,28.5593,24.2099,1.67636,43.1024
204,203,17.4478,5.14183,1.14884,65.1718
205,2047,50.1454,11.6839,1.13351,128.418
206,205,11.5166,1.19601,1.13351,168.445
207,99,16.8354,0.838538,3.39433,20.9412
208,66,21.782,7.0017,1.39951,27.0072
209,15,18.5558,1.12562,1.14102,58.9291
210,288,4.687,5.42237,2.24137,14.5581
211,210,14.3319,1.66751,1.39951,24.9081
212,22,18.8251,3.88593,1.13372,123.345
213,101,18.6435,3.60859,2.24137,27.0351
214,125,16.8259,0.186965,3.39433,11.9632
215,120,16.2082,2.72892,3.39433,25.5184
216,5,16.4249,1.7462,5.74509,13.6617
217,5,18.0152,1.48941,5.74509,13.2723
218,3600,2.1616,41.4898,1.67636,34.5699
219,218,18.5611,6.00162,1.1648,73.664
220,247,21.5359,48.335,1.13531,83.7238
221,220,15.3798,0.803608,1.13356,131.652
222,5,47.8937,11.9883,1.67636,40.3443
223,222,15.6003,3.54305,1.1648,73.7237
