to,from,x,y,cov,cost
135,48,55.9941,45.7003,9.37378,64.6148
136,135,49.0281,41.8666,9.24696,72.5661
137,670,38.8061,34.3362,10.6206,37.7099
138,137,48.5365,40.8301,10.2569,49.4083
139,884,23.1921,35.9047,9.53034,29.6908
140,139,50.1403,35.7097,9.14424,56.6397
141,1047,45.3169,44.3453,8.77205,91.3285
142,141,50.217,36.4417,8.75956,100.628
143,74,48.7038,35.9406,8.83,110.664
144,58,67.9911,32.1223,9.37378,62.3783
145,144,49.152,36.2884,9.06103,81.6726
146,670,12.7554,16.6055,11.62,7.15714
147,146,49.8904,36.3782,9.72363,49.2282
148,2029,42.0211,35.2679,9.96226,41.0331
149,148,49.8616,36.2548,9.37378,48.9355
150,670,32.9175,28.6871,10.6206,29.5706
151,150,50.5936,35.9675,9.53034,48.6873
152,125,42.6084,28.3068,9.96226,37.5731
153,152,48.7684,35.8423,9.72363,47.3061
154,123,38.9916,28.3104,9.96226,34.3038
155,154,48.9765,36.3013,9.72363,47.0926
156,670,45.8842,33.2256,10.2569,42.7446
157,156,50.9788,36.8648,9.96226,49.0055
158,99,48.0689,39.6767,9.06103,59.0855
159,670,18.1877,4.41676,11.0696,9.91012
160,159,48.7158,38.8744,9.72363,55.9459
161,197,40.5449,45.8603,8.78746,91.0252
162,161,49.4451,40.264,8.75956,101.539
163,2181,47.4077,45.7534,8.93904,54.6591
164,163,48.4547,39.6623,8.85901,60.8396
165,226,32.5872,20.1907,10.2569,27.6331
166,165,49.1478,40.1701,9.72363,53.5837
167,103,40.7673,24.0822,9.72363,34.2878
168,167,48.2478,39.4516,9.24696,51.3809
169,248,31.2391,32.5314,10.2569,31.0161
170,169,48.5312,40.5066,9.53034,50.0587
171,48,49.1097,40.1485,9.53034,58.7897
172,1346,40.8866,36.4048,9.96226,40.903
173,172,47.9797,39.2666,9.53034,48.5518
174,115,48.9313,40.3467,9.96226,50.0395
175,670,13.0298,9.99463,11.62,3.0298
176,175,49.4424,39.5999,9.96226,49.959
177,113,49.1547,40.3074,9.53034,49.7098
178,1587,40.2733,37.2078,9.72363,40.7556
179,178,48.3691,40.439,9.53034,49.4724
180,1055,50.724,22.523,9.24696,43.462
181,180,49.2036,32.1822,8.93904,53.2401
182,2207,37.9785,24.686,9.96226,31.6046
183,182,48.5293,35.2517,9.53034,46.5363
184,7323,58.7597,26.5203,8.72135,127.949
185,184,48.856,35.0967,8.7185,141.05
186,58,53.4721,36.3466,9.53034,51.8303
187,186,49.8709,35.1061,9.06103,55.6391
188,2178,55.1654,45.0224,9.72363,58.3686
189,188,47.8105,34.4625,9.24696,71.2374
190,593,60.029,36.3563,9.14424,56.9836
191,190,50.4645,35.2607,9.06103,66.6107
192,117,43.2793,32.4129,10.2569,40.2461
193,192,48.7905,34.8517,9.24696,46.2727
194,17325,44.8172,32.3118,9.24696,41.3878
195,194,47.2043,34.1783,9.14424,44.418
196,60,50.1321,34.8661,9.37378,47.5393
197,17326,36.1183,45.8018,8.83,86.5981
198,197,46.5102,30.7492,8.77205,104.889
199,17327,29.167,45.6056,8.75956,98.9872
200,199,46.1823,31.006,8.73461,121.408
201,513,16.4895,43.5684,10.2569,35.0133
202,201,45.8022,31.2859,9.37378,66.7953
203,146,28.2077,25.5336,10.6206,25.0033
204,203,47.0195,30.6032,9.96226,44.4863
205,48,46.5192,31.2959,9.37378,62.2611
206,474,57.7719,10.382,9.53034,48.6231
207,206,47.3868,31.8126,9.14424,72.4373
208,2545,43.3696,33.2669,9.96226,41.8291
209,208,47.4895,30.9611,9.72363,46.5503
210,107,55.8268,31.2619,9.37378,51.4544
211,210,45.9719,31.0171,9.24696,61.3123
212,296,46.5832,27.5436,9.53034,40.5945
213,212,47.6979,31.4918,9.37378,44.6971
214,123,37.9578,28.8469,10.2569,33.8051
215,214,47.0595,31.2863,9.96226,43.228
216,1178,61.0161,14.3744,8.99364,82.7643
217,216,48.0105,31.5988,8.89483,104.347
218,1139,33.2069,36.8225,9.37378,36.5121
219,218,49.0341,33.8312,9.14424,52.6196
220,9300,22.7921,29.7207,10.2569,24.5573
221,220,48.3297,30.8678,9.37378,50.1206
222,5260,72.1532,18.4047,9.06103,64.2869
223,222,47.5012,33.0251,8.83,92.9484
224,36,47.574,32.9513,8.99364,65.0994
225,103,48.8665,31.463,9.37378,45.2455
226,914,29.8448,14.6432,10.6206,21.4448
227,226,47.9054,32.8428,9.96226,47.0849
228,123,34.0622,28.5009,9.72363,30.9072
229,228,48.0756,33.1942,9.14424,45.6856
230,670,25.089,16.2008,10.2569,16.3135
231,230,48.9301,31.7883,9.53034,44.7979
232,121,48.1774,33.5151,9.24696,45.2338
233,80,48.3178,31.6187,9.53034,44.7721
234,879,29.7862,16.6818,10.6206,20.8852
235,234,48.6436,31.1055,9.72363,44.6263
236,670,40.7861,23.8184,10.2569,33.7451
237,236,48.4434,30.7738,9.96226,44.0898
238,2207,32.0767,23.1919,10.2569,25.7611
239,238,48.6462,33.376,9.24696,45.2101
240,201,46.6287,32.547,9.37378,67.1045
241,788,31.6372,39.3276,9.53034,38.46
242,241,47.5141,33.8093,9.06103,55.2685
243,593,48.0844,25.0513,9.53034,40.9836
244,243,46.2286,32.4874,9.06103,48.6478
245,570,29.8899,45.7371,9.24696,45.6126
246,245,47.2258,32.5325,9.06103,67.4046
247,48,47.298,32.7005,9.53034,61.6696
248,2772,27.6445,27.6813,11.0696,24.9791
249,248,47.1793,33.6785,9.53034,45.4138
250,50,47.384,32.0772,9.72363,45.7287
251,2207,21.0344,18.8235,10.6206,14.5906
252,251,46.9672,33.6924,9.53034,44.4836
253,9874,27.6689,13.0264,10.6206,18.2943
254,253,46.5072,32.6956,9.72363,45.5295
255,670,43.5405,31.0024,9.96226,39.5735
256,255,47.3979,33.5452,9.72363,44.1936
257,1110,32.0938,21.9206,10.6206,25.3229
258,257,46.3304,33.4909,9.96226,43.6682
259,197,45.8669,37.489,8.8065,99.4098
260,197,44.4118,36.1621,8.75956,99.3145
261,141,45.2688,35.1187,8.75956,100.555
262,74,45.4547,36.7272,8.83,108.488
263,879,28.4242,14.5059,10.6206,19.3576
264,263,44.4705,36.0008,9.72363,46.1814
265,670,24.4092,10.4234,11.0696,14.4154
266,265,45.0966,35.9429,9.72363,47.2668
267,263,45.5684,35.8338,9.53034,46.7219
268,257,44.7578,35.583,9.96226,43.9518
269,1110,16.5862,16.5917,11.0696,10.4268
270,269,44.6831,36.4831,9.96226,44.8521
271,1300,35.7806,27.748,9.96226,31.377
272,271,45.4168,36.0377,9.72363,44.0883
273,8,47.2938,39.4322,8.72135,128.62
274,1,47.087,38.6406,8.7185,128.454
275,197,47.4437,38.7153,8.75956,99.9579
276,334,39.86,33.9106,9.96226,38.8087
277,276,46.9754,38.727,9.72363,47.4011
278,770,62.0232,45.843,8.99364,84.559
279,278,47.1053,38.397,8.85901,101.232
280,17328,59.8408,45.7344,9.37378,61.5054
281,280,47.6115,38.2128,9.14424,75.8626
282,119,47.4023,38.715,9.24696,59.2193
283,17326,85.1369,19.9622,8.85901,104.119
284,283,47.5942,36.0595,8.75956,144.967
285,2239,39.4995,29.2628,9.53034,38.4537
286,285,46.4949,34.641,9.14424,47.2775
287,1218,24.6145,29.5673,9.72363,25.172
288,287,47.7794,35.9359,9.06103,49.1964
289,818,42.7464,33.6412,9.53034,41.6732
290,289,47.481,35.2585,9.06103,46.6764
291,1991,33.0532,39.1017,9.96226,37.9751
292,291,47.4884,34.8165,9.24696,53.033
293,20,47.2191,34.851,9.24696,50.493
294,78,49.5751,30.1233,9.96226,44.458
295,294,47.9226,35.1716,9.72363,49.7698
296,78,35.8934,22.0446,10.2569,28.5732
297,296,47.6088,35.6163,9.53034,46.5021
298,398,30.6618,28.3294,10.6206,27.7575
299,298,47.6509,35.3677,9.72363,46.1469
300,773,40.9676,33.8185,9.96226,39.155
301,300,46.2203,34.5508,9.53034,44.4585
302,3815,80.1485,11.1078,9.24696,71.2275
303,302,46.6724,37.0461,8.93904,113.577
304,546,48.2723,45.6981,8.72135,125.443
305,304,47.094,35.9095,8.71618,135.303
306,10,47.5725,37.5029,8.99364,116.226
307,186,47.0407,36.6262,9.37378,58.2678
308,304,46.4537,35.8419,8.7185,135.466
309,1384,62.5852,24.2308,9.37378,61.0034
310,309,46.6762,36.1633,8.93904,80.89
311,1055,49.2081,22.1811,9.72363,41.9115
312,311,47.1884,37.4892,9.37378,57.3523
313,753,38.7111,36.7196,9.37378,41.4451
314,313,47.3672,36.2209,9.24696,50.1156
315,48,45.752,38.0495,9.72363,56.889
316,48,46.1599,37.3799,9.53034,57.6209
317,8502,31.7302,5.83853,9.24696,22.8088
318,317,46.1224,36.609,8.93904,56.7787
319,135,46.6036,37.1071,9.24696,77.3437
320,131,46.2929,36.5141,9.24696,63.7242
321,670,20.3665,29.1875,11.0696,21.8088
322,321,46.6236,37.5697,9.96226,49.3714
323,1139,38.945,38.8551,9.37378,41.6515
324,323,46.2319,37.74,9.24696,49.0233
325,54,46.5994,38.0901,9.37378,47.0384
326,1117,26.4643,16.0756,11.0696,17.5683
327,326,46.0919,37.1232,9.53034,46.3475
328,670,27.4179,20.0839,11.0696,20.1263
329,328,45.8829,37.9347,9.96226,45.8091
330,78,46.0876,36.8234,9.53034,45.9585
331,214,40.3257,30.845,9.96226,36.9033
332,331,45.6168,37.6059,9.53034,45.4885
333,24,47.5004,37.3027,9.96226,46.7782
334,1300,39.4891,32.147,10.2569,37.0066
335,334,46.0601,38.3964,9.96226,46.0748
336,17329,41.8132,40.7337,9.14424,44.5087
337,336,46.5707,37.9037,9.06103,50.0444
338,148,46.3071,37.3565,9.24696,45.8009
339,670,30.9281,17.1931,9.96226,22.1298
340,339,47.3059,38.0241,9.14424,48.6281
341,2033,32.3921,23.3451,9.96226,26.1574
342,341,46.702,37.9577,9.37378,46.6098
343,670,30.105,23.2577,10.2569,24.0827
344,343,46.1525,35.3485,9.37378,44.1752
345,56,21.3123,19.4993,10.6206,14.8126
346,345,48.0224,37.1269,9.72363,46.8152
347,924,45.0105,35.6857,9.72363,43.5676
348,347,46.258,36.567,9.53034,45.095
349,17330,96.0863,11.1536,8.83,111.816
350,349,51.2304,24.1572,8.74944,158.519
351,365,46.3406,23.5709,9.14424,71.2318
352,351,50.8014,23.8449,8.99364,75.7009
353,1919,80.2637,45.7407,8.71618,128.143
354,353,50.8809,25.6108,8.71156,163.76
355,304,50.4014,24.9787,8.71431,146.272
356,1732,11.0864,45.8297,8.74125,113.309
357,356,49.7341,24.6209,8.7185,157.394
358,17331,16.808,42.0505,9.06103,69.68
359,358,50.2347,24.8474,8.85901,107.274
360,10278,53.9775,25.0069,9.06103,63.163
361,360,50.5429,25.5244,8.99364,66.6364
362,8,51.5321,24.8168,8.71431,139.848
363,2762,46.7436,29.127,9.72363,51.9128
364,363,51.449,25.4861,9.37378,57.8624
365,2341,58.5879,14.3006,9.37378,55.8716
366,365,49.6866,24.2175,9.24696,69.1975
367,199,51.3186,23.5729,8.73461,130.23
368,2496,66.8358,5.71177,8.99364,57.3828
369,368,50.9441,23.6092,8.85901,81.3174
370,17332,52.9816,45.7399,8.77205,137.674
371,370,52.043,25.7316,8.74125,157.704
372,818,38.7544,34.5992,9.24696,39.2622
373,372,49.6197,23.4034,9.06103,54.8635
374,522,38.5224,34.0835,9.24696,38.3774
375,374,50.5382,23.3168,8.93904,54.5112
376,1085,24.6968,1.65907,10.2569,23.0691
377,376,50.4828,24.9018,9.24696,57.7842
378,670,37.5457,33.5523,9.96226,36.2419
379,378,50.951,24.9403,9.53034,52.1751
380,670,43.1811,5.36331,10.2569,33.5035
381,380,49.6933,23.3498,9.24696,52.6326
382,121,50.0894,25.9299,9.24696,44.9835
383,382,49.984,23.4905,9.14424,47.4252
384,2772,29.6921,24.2943,9.96226,24.6468
385,384,52.165,25.6328,9.37378,47.1596
386,2207,42.4839,32.7046,9.96226,39.7575
387,386,50.8468,25.3836,9.53034,50.8721
388,538,47.632,18.3414,9.37378,38.5531
389,388,50.453,25.9917,9.14424,46.707
390,1097,40.9156,25.3744,9.96226,34.8515
391,390,51.3879,25.2896,9.53034,45.3241
392,103,41.4645,20.3232,9.14424,33.4472
393,392,51.8827,25.7892,8.99364,45.2123
394,670,24.5105,10.5385,10.6206,14.5205
395,394,50.8769,25.5648,9.53034,44.8681
396,103,52.1275,24.7132,9.37378,44.7718
397,396,51.4053,24.7757,9.14424,45.4967
398,670,24.2071,20.8392,11.0696,17.8698
399,398,51.5253,24.017,9.72363,45.3723
400,670,17.9004,19.1791,11.62,12.1108
401,400,51.1161,23.28,9.72363,45.5787
402,670,42.1615,25.066,9.96226,35.5154
403,402,50.5178,23.3005,9.72363,44.0562
404,1300,32.5938,20.18,10.6206,24.7901
405,404,51.966,25.6459,9.96226,44.9185
406,146,9.37267,23.0335,11.0696,14.4208
407,406,54.1907,26.6598,9.53034,59.3853
408,1,64.1805,42.3347,8.72923,118.758
409,408,52.5976,27.5946,8.71431,137.504
410,186,52.6757,26.6808,9.14424,61.5289
411,161,53.7846,26.2801,8.75956,114.661
412,12,58.9067,29.0578,9.37378,53.7762
413,412,52.8157,25.8478,9.24696,60.6613
414,241,35.3786,45.5723,9.24696,45.7397
415,414,53.6158,26.658,9.06103,72.0141
416,304,53.1056,25.4799,8.71431,146.231
417,48,53.6538,26.7048,9.37378,70.3864
418,1064,46.1387,36.1792,9.96226,44.8978
419,418,51.7516,26.7662,9.37378,55.8572
420,670,40.8961,14.7074,9.96226,31.2526
421,420,53.1694,27.1228,9.37378,48.7104
422,388,52.8413,26.79,8.93904,48.4786
423,390,52.7738,26.8141,9.53034,46.7968
424,879,53.5627,28.258,9.96226,47.285
425,424,53.2695,27.1635,9.72363,48.4181
426,390,50.434,26.7409,9.72363,44.4675
427,426,51.9786,27.5986,9.53034,46.2342
428,13183,45.1289,21.5651,9.37378,36.9914
429,428,51.8522,27.2422,9.24696,45.791
430,899,35.0552,30.2728,10.2569,32.2427
431,430,54.491,27.2817,9.53034,51.9073
432,1110,27.1146,11.5783,10.6206,17.2137
433,432,52.7882,26.677,9.72363,46.998
434,670,33.4455,14.8162,10.6206,23.935
435,434,54.2141,26.9899,9.72363,48.0086
436,2911,39.7289,17.2134,9.96226,30.6895
437,436,52.6833,26.5236,9.53034,46.6425
438,17333,20.1583,38.3138,9.14424,69.3159
439,438,48.8762,27.5331,8.89483,99.9907
440,1047,19.7096,45.6156,8.75956,104.508
441,440,50.8493,27.2592,8.72488,140.655
442,1047,41.3263,37.0092,8.77205,93.6315
443,442,50.2793,28.0128,8.75956,106.324
444,17334,79.7292,35.3406,8.83,115.117
445,444,48.2479,26.5341,8.75956,147.807
446,17335,62.6934,18.6762,8.85901,92.1293
447,446,51.112,27.0496,8.8065,106.421
448,48,49.5444,26.11,9.14424,68.2341
449,317,50.8649,27.2769,8.89483,51.5444
450,10061,36.9507,10.9621,9.37378,29.142
451,450,51.1974,27.1819,9.06103,50.7302
452,121,43.0022,26.1771,9.24696,38.2153
453,452,49.7815,27.9718,9.14424,45.2281
454,2878,51.7276,15.9681,9.72363,42.5646
455,454,51.028,26.478,9.24696,53.0978
456,150,51.3994,26.7616,9.72363,48.1525
457,123,44.6001,29.04,9.37378,39.5354
458,457,48.5019,26.988,9.24696,43.9439
459,708,51.0509,29.0563,9.37378,45.7241
460,459,49.8228,27.1388,9.24696,48.0011
461,1110,40.8426,19.5401,9.72363,32.3113
462,461,50.4641,26.4111,9.53034,44.1343
463,402,51.1896,26.487,9.72363,44.6546
464,1464,49.4353,24.3805,9.96226,42.0442
465,464,50.3721,26.1028,9.72363,44.0048
466,670,46.5197,26.0573,9.96226,39.894
467,466,50.5966,26.2516,9.37378,43.9755
468,125,45.4934,26.0706,9.96226,39.0639
469,468,51.018,27.9542,9.53034,44.9007
470,17336,10.4867,22.8952,9.24696,54.0442
471,470,48.1212,24.6104,8.93904,91.7178
472,294,47.7779,25.7935,9.53034,49.146
473,418,49.6557,25.5535,9.53034,56.0904
474,1085,33.4675,7.68599,10.6206,24.1696
475,474,49.372,25.3165,9.72363,47.9139
476,396,49.5788,25.0087,9.24696,47.3376
477,161,48.8946,25.2593,8.74125,113.254
478,54,49.172,25.0717,9.53034,45.5436
479,1055,39.6118,18.443,9.37378,31.6998
480,479,49.2811,24.9654,9.24696,43.3634
481,1097,41.588,19.008,9.96226,33.6796
482,481,48.5183,25.3024,9.72363,43.0417
483,392,48.3269,25.2156,8.99364,41.8751
484,121,49.2982,25.6546,9.24696,44.2628
485,2784,39.529,23.7959,9.72363,32.8845
486,485,48.271,26.052,9.37378,41.9129
487,879,34.933,18.0235,10.6206,26.2006
488,487,49.2251,23.9928,9.96226,41.6891
489,1085,49.2269,35.9291,9.96226,54.9642
490,489,44.5566,27.9511,9.72363,64.2086
491,3840,64.4753,24.0708,8.78746,112.876
492,491,45.9908,29.6759,8.74125,132.192
493,197,46.7006,29.0965,8.78746,106.373
494,378,46.3302,28.5675,9.72363,46.3421
495,78,52.4287,22.2375,9.72363,44.5381
496,495,48.7407,28.7991,9.53034,52.0652
497,13612,30.9053,42.9687,9.37378,41.2791
498,497,47.0629,28.6494,9.14424,62.8687
499,208,47.957,29.5513,9.72363,47.7325
500,670,20.7589,11.1157,10.6206,10.8166
501,500,47.8023,29.3733,9.53034,43.4461
502,2898,57.2904,25.971,9.24696,50.1428
503,502,47.4523,28.1112,8.89483,60.2109
504,175,38.1089,18.7371,9.72363,29.5891
505,504,46.7282,28.5597,9.06103,42.6572
506,238,47.313,28.6234,9.53034,41.9366
507,28,46.7031,29.4723,9.53034,42.0173
508,1199,38.6672,21.5382,10.2569,31.074
509,508,46.4285,28.5567,9.53034,41.5381
510,182,46.7105,28.3937,9.72363,41.0912
511,879,41.9234,23.0944,9.72363,34.5534
512,511,48.8858,28.4905,9.14424,43.3621
513,670,11.5425,35.5169,10.6206,25.5635
514,513,40.0525,31.1675,9.72363,54.4033
515,17326,50.8032,32.8891,8.93904,70.6803
516,515,41.7485,30.5727,8.85901,80.0266
